[E 2023-03-03 19:12:18,786 /Users/yun_yang/opt/anaconda3/lib/python3.9/site-packages/shioaji/utils.py:46:raise_resp_error] {'status': {'status_code': 400}, 'response': {'token': '', 'accounts': [], 'detail': 'Incorrect userid or password', 'ip_address': '118.166.93.247', 'client_name': '', 'contract_download': False, 'web_token': ''}}
[E 2023-03-03 19:12:43,758 /Users/yun_yang/opt/anaconda3/lib/python3.9/site-packages/shioaji/utils.py:46:raise_resp_error] {'status': {'status_code': 400}, 'response': {'token': '', 'accounts': [], 'detail': 'Incorrect userid or password', 'ip_address': '118.166.93.247', 'client_name': '', 'contract_download': False, 'web_token': ''}}
[E 2023-03-03 19:13:08,188 /Users/yun_yang/opt/anaconda3/lib/python3.9/site-packages/shioaji/utils.py:46:raise_resp_error] {'status': {'status_code': 400}, 'response': {'token': '', 'accounts': [], 'detail': 'Incorrect userid or password', 'ip_address': '118.166.93.247', 'client_name': '', 'contract_download': False, 'web_token': ''}}
[E 2023-03-03 19:13:35,990 /Users/yun_yang/opt/anaconda3/lib/python3.9/site-packages/shioaji/utils.py:46:raise_resp_error] {'status': {'status_code': 400}, 'response': {'token': '', 'accounts': [], 'detail': 'Incorrect userid or password', 'ip_address': '118.166.93.247', 'client_name': '', 'contract_download': False, 'web_token': ''}}
[E 2023-03-03 19:15:23,332 /Users/yun_yang/opt/anaconda3/lib/python3.9/site-packages/shioaji/utils.py:46:raise_resp_error] {'status': {'status_code': 400}, 'response': {'token': '', 'accounts': [], 'detail': 'Incorrect userid or password', 'ip_address': '118.166.93.247', 'client_name': '', 'contract_download': False, 'web_token': ''}}
[E 2023-03-03 19:15:50,948 /Users/yun_yang/opt/anaconda3/lib/python3.9/site-packages/shioaji/utils.py:46:raise_resp_error] {'status': {'status_code': 400}, 'response': {'token': '', 'accounts': [], 'detail': 'Incorrect userid or password', 'ip_address': '118.166.93.247', 'client_name': '', 'contract_download': False, 'web_token': ''}}
[E 2023-03-03 19:19:32,356 /Users/yun_yang/opt/anaconda3/lib/python3.9/site-packages/shioaji/utils.py:46:raise_resp_error] {'status': {'status_code': 400}, 'response': {'token': '', 'accounts': [], 'detail': 'Incorrect userid or password', 'ip_address': '118.166.93.247', 'client_name': '', 'contract_download': False, 'web_token': ''}}
[E 2023-03-03 19:19:38,981 /Users/yun_yang/opt/anaconda3/lib/python3.9/site-packages/shioaji/utils.py:46:raise_resp_error] {'status': {'status_code': 400}, 'response': {'token': '', 'accounts': [], 'detail': 'Incorrect userid or password', 'ip_address': '118.166.93.247', 'client_name': '', 'contract_download': False, 'web_token': ''}}
[E 2023-03-03 19:21:05,983 /Users/yun_yang/opt/anaconda3/lib/python3.9/site-packages/shioaji/utils.py:46:raise_resp_error] {'status': {'status_code': 400}, 'response': {'token': '', 'accounts': [], 'detail': 'Incorrect userid or password', 'ip_address': '118.166.93.247', 'client_name': '', 'contract_download': False, 'web_token': ''}}
